"IDpol","Year","Damage","Fire","Other","Theft","TPL","Windscreen"
"1000431.10a",2003,0,0,0,0,0,1
"1000472.100a",2003,0,0,0,0,1,0
"1000650.101a",2003,0,0,0,0,1,0
"1000733.10a",2003,0,0,0,0,0,1
"1000775.101a",2003,0,0,0,0,1,0
"1000889.10a",2003,0,0,0,0,1,0
"1000896.10a",2003,0,0,0,1,0,0
"1000933.100a",2003,0,0,0,0,0,1
"1000937.100a",2003,0,0,0,0,1,0
"1001133.100c",2003,0,0,0,0,0,1
"1001171.100a",2003,0,0,0,0,1,0
"1001319.101a",2003,0,0,0,0,0,1
"1001365.100a",2003,0,0,0,0,1,0
"1001366.100b",2003,0,0,0,0,1,0
"1001456.100a",2003,0,0,0,0,0,1
"1001560.100a",2003,0,0,0,0,0,1
"1001584.100a",2003,0,0,0,0,1,0
"1001590.100b",2003,0,0,0,0,0,1
"1001688.100a",2003,0,0,0,0,0,1
"1001773.100b",2003,0,0,0,0,1,0
"1001874.100b",2003,0,0,0,0,1,0
"1001941.100a",2003,0,0,0,0,1,1
"1001942.100a",2003,0,0,0,0,0,1
"1001951.100a",2003,1,0,0,0,0,1
"1001996.101b",2003,0,0,0,0,1,0
"1002009.100a",2003,0,0,0,0,0,1
"1002065.100a",2003,0,0,0,0,0,1
"1002085.100a",2003,0,0,0,0,1,0
"1002122.100a",2003,0,0,0,0,1,0
"1002158.101a",2003,0,0,0,0,1,0
"1002160.100b",2003,1,0,0,0,0,1
"1002166.100a",2003,0,0,0,0,1,0
"1002205.100b",2003,1,0,0,0,0,0
"1002330.100a",2003,0,0,0,0,0,1
"1002352.100c",2003,0,0,0,0,1,0
"1002353.100a",2003,0,0,0,0,0,1
"1002364.100a",2003,0,0,0,0,1,0
"1002385.101a",2003,0,0,0,0,0,1
"1002417.101c",2003,0,0,0,0,1,0
"1002442.100a",2003,1,0,0,0,0,0
"1002593.100a",2003,0,0,0,0,1,0
"1002626.100b",2003,0,0,0,0,1,0
"1002639.100b",2003,0,0,0,0,1,0
"1002714.100b",2003,0,0,0,0,1,0
"1002745.100a",2003,1,0,0,0,1,0
"1002791.100a",2003,0,0,0,0,0,1
"1002792.100b",2003,0,0,0,0,1,0
"1002832.100a",2003,0,0,0,0,0,1
"1002876.100a",2003,0,0,0,0,1,0
"1003052.100a",2003,0,0,0,0,0,1
"1003063.100a",2003,0,0,0,0,0,1
"1003124.101a",2003,0,0,0,0,2,0
"1003134.100a",2003,0,0,0,0,0,1
"1003140.101a",2003,0,0,0,0,1,0
"1003227.100a",2003,0,0,0,0,1,0
"1003241.100a",2003,1,0,0,0,0,0
"1003290.100b",2003,1,0,0,0,0,1
"1003291.100c",2003,0,0,0,0,1,0
"1003304.100a",2003,0,0,0,1,0,0
"1003373.101a",2003,0,0,0,0,1,0
"1003378.100a",2003,0,0,0,0,0,1
"1003440.100a",2003,0,0,0,0,1,0
"1003491.100a",2003,0,0,0,0,1,0
"1003635.100a",2003,0,0,0,0,1,0
"1003803.102a",2003,0,0,0,1,0,0
"1003807.101b",2003,0,0,0,0,1,0
"1003820.100a",2003,0,0,0,0,1,0
"1004847.100a",2003,0,0,0,0,0,2
"1005058.100b",2003,0,0,0,0,0,1
"1005075.100a",2003,0,0,0,0,0,1
"1005076.100a",2003,0,0,0,0,1,0
"1005092.100a",2003,0,0,0,0,0,1
"1005218.100a",2003,0,0,0,0,0,1
"1005283.100a",2003,0,0,0,0,1,0
"1005320.100a",2003,0,0,0,0,1,0
"1005327.102a",2003,0,0,0,0,0,1
"1005338.100b",2003,0,0,0,0,0,1
"1005340.100b",2003,1,0,0,0,0,0
"1005407.100c",2003,0,0,0,0,1,0
"1005484.100a",2003,0,0,0,0,0,1
"1005600.101a",2003,0,0,0,0,0,1
"1005624.101a",2003,0,0,0,0,1,0
"1005782.100a",2003,0,0,0,0,1,0
"1005801.101a",2003,0,0,0,0,1,0
"1006802.100a",2003,0,0,0,0,0,1
"1006822.100a",2003,0,0,0,0,1,0
"1006822.100b",2003,0,0,0,0,0,1
"1006834.101a",2003,0,0,0,0,1,0
"1006912.100b",2003,0,0,0,0,0,1
"1006914.100a",2003,0,0,0,0,0,1
"1007002.101b",2003,0,0,0,0,0,2
"1007005.100a",2003,0,0,0,0,0,1
"1007019.100a",2003,0,0,0,0,0,1
"1007037.100b",2003,1,0,0,0,0,0
"1007039.100a",2003,0,0,0,0,1,0
"1007261.101a",2003,0,0,0,0,1,0
"1007385.100a",2003,0,0,0,0,0,1
"1007397.102b",2003,0,0,0,0,1,0
"1007418.101a",2003,0,0,0,0,0,1
"1007428.100a",2003,0,0,0,0,0,1
"1007436.100a",2003,0,0,0,0,0,1
"1007557.100a",2003,0,0,0,0,1,0
"1007582.100a",2003,0,0,0,0,0,1
"1007609.101a",2003,0,0,0,0,1,0
"1007617.100a",2003,0,0,0,0,0,1
"1007633.100b",2003,0,0,0,0,1,0
"1007648.100b",2003,0,0,1,0,1,0
"1007654.100a",2003,0,0,0,0,0,1
"1007655.100f",2003,0,0,0,0,0,1
"1007790.100a",2003,0,0,0,0,1,0
"1009102.100b",2003,0,0,0,0,0,1
"1009103.100a",2003,2,0,0,0,1,0
"1009204.100a",2003,0,0,0,0,1,0
"1009221.100a",2003,0,0,0,0,0,1
"1009295.100b",2003,0,0,0,0,1,1
"1009332.100a",2003,0,0,0,0,2,0
"1009398.100a",2003,1,0,0,0,1,0
"1009521.100a",2003,0,0,0,0,1,0
"1009544.100a",2003,0,0,0,0,1,0
"1009563.100a",2003,0,0,0,0,1,0
"1009629.100a",2003,0,0,0,0,1,0
"1009629.100b",2003,1,0,0,0,0,0
"1009682.100b",2003,0,0,0,0,0,1
"10100005.100a",2003,0,0,0,0,1,0
"10100048.101a",2003,1,0,0,0,1,0
"10100075.101a",2003,1,0,0,0,0,0
"10100078.101a",2003,0,0,0,0,1,0
"10100096.101a",2003,0,0,1,0,0,0
"10100101.100b",2003,0,0,0,0,1,0
"10100125.101a",2003,0,0,0,0,0,1
"10100142.101a",2003,1,0,0,0,0,0
"10100145.100b",2003,0,0,0,0,1,0
"10100157.101b",2003,0,0,0,0,1,0
"10100159.101a",2003,0,0,0,0,0,1
"10100159.102a",2003,1,0,0,0,0,0
"10100165.103a",2003,0,0,0,0,1,0
"10100330.101b",2003,1,0,0,0,0,0
"10100429.101a",2003,0,0,0,0,1,0
"1010730.100a",2003,0,0,0,0,1,0
"1010832.100a",2003,0,0,0,0,1,0
"1010973.100b",2003,0,0,0,0,0,1
"1011037.100a",2003,0,0,0,0,2,0
"1011240.100b",2003,0,0,0,0,0,1
"1011299.100a",2003,1,0,0,0,0,0
"1011449.100a",2003,0,0,0,0,1,0
"10200036.101b",2003,1,0,0,1,0,0
"10200118.101a",2003,0,0,0,0,1,0
"10200129.101a",2003,0,0,0,0,1,0
"10200139.103a",2003,0,0,0,0,1,0
"10200364.101a",2003,1,0,0,0,0,0
"10200372.101a",2003,0,0,0,0,1,0
"10200411.101b",2003,0,0,0,0,0,1
"10200425.101b",2003,0,0,0,0,1,0
"10200535.102a",2003,0,0,0,0,0,1
"10200537.101a",2003,1,0,0,0,0,0
"156.101a",2003,0,0,0,0,0,1
"160.104b",2003,1,0,0,0,0,0
"17.102a",2003,0,0,0,0,0,1
"186.102a",2003,2,0,0,0,0,0
"189.101b",2003,0,0,0,0,1,0
"195.100b",2003,0,0,0,1,0,0
"20.102a",2003,0,0,0,1,0,0
"20100009.100a",2003,0,0,0,0,1,0
"20100049.100b",2003,0,0,0,1,0,0
"20100114.10c",2003,0,0,0,0,1,0
"20100120.10a",2003,0,0,0,1,0,0
"20100120.10b",2003,0,0,0,0,1,0
"20100120.10c",2003,0,0,0,0,0,1
"20100140.100a",2003,0,0,0,0,1,0
"20100157.101b",2003,0,0,0,0,1,0
"20100162.10b",2003,0,0,0,0,1,0
"20100162.10c",2003,0,0,0,0,1,0
"20100209.10a",2003,0,0,0,0,0,1
"20100218.10a",2003,0,0,0,0,1,0
"20100219.10a",2003,0,0,0,1,0,0
"20100312.100a",2003,0,0,0,0,1,1
"20100324.100a",2003,0,0,0,0,0,1
"20100366.101b",2003,0,0,0,0,1,0
"20100389.10a",2003,0,0,0,0,0,1
"20100433.10b",2003,0,0,0,1,0,0
"20100482.10a",2003,0,0,0,0,0,1
"20100490.10a",2003,0,0,0,0,0,1
"20200005.100c",2003,0,0,0,0,1,0
"20200029.10a",2003,0,0,0,0,1,0
"20200241.100a",2003,0,0,0,0,0,1
"20200251.10a",2003,1,0,1,0,1,0
"20200297.102b",2003,0,0,0,0,0,1
"20200602.101a",2003,0,0,0,0,1,0
"20200711.10b",2003,0,0,0,0,1,0
"20200912.10a",2003,0,0,0,1,0,0
"212.100a",2003,0,0,0,1,0,0
"216.102b",2003,0,0,1,0,0,0
"23.101a",2003,0,0,0,1,0,0
"233.101a",2003,0,0,0,0,0,1
"266.101a",2003,0,0,0,0,0,1
"288.101b",2003,0,0,0,0,2,0
"30100030.101a",2003,0,0,0,0,2,0
"30100052.101a",2003,0,0,0,0,1,0
"30100061.101a",2003,0,0,0,0,1,0
"30100061.101b",2003,0,0,0,0,0,1
"30100121.101b",2003,0,0,0,0,1,0
"30100217.10a",2003,0,0,0,0,0,1
"30200066.10a",2003,0,0,0,0,1,0
"30200196.10a",2003,0,0,0,1,0,0
"30200463.100b",2003,0,0,0,1,0,0
"38.102a",2003,0,0,0,0,1,0
"4.100a",2003,0,0,0,0,0,1
"4.10a",2003,1,0,0,0,0,0
"40100087.100a",2003,0,0,0,0,1,0
"40100153.101b",2003,0,0,0,0,0,1
"40100295.101a",2003,0,0,0,0,1,0
"40100295.101b",2003,0,0,0,0,0,2
"40100296.101a",2003,0,0,0,0,1,0
"40100375.101c",2003,0,0,0,0,0,1
"40100385.101a",2003,0,0,0,0,0,1
"40200015.101c",2003,0,0,0,0,0,1
"40200078.101a",2003,0,0,0,0,2,0
"40200104.101a",2003,0,0,1,0,0,0
"40200187.100a",2003,0,0,0,0,1,0
"40200210.102a",2003,0,0,0,0,1,0
"40200260.101a",2003,0,0,0,0,0,1
"40200263.101a",2003,0,0,0,0,0,1
"40200270.100b",2003,0,0,0,0,1,0
"40200408.100a",2003,0,0,0,0,1,0
"40200668.101a",2003,0,0,0,1,0,0
"40200973.100b",2003,1,0,0,0,0,0
