"IDpol","OccurDate","Payment","IDclaim","Guarantee"
"70100084.100a",2003-01-01,104,"7201","Windscreen"
"80100041.10b",2003-01-01,628,"6995","TPL"
"90105222.100a",2003-01-01,468,"6876","TPL"
"90109476.101a",2003-01-01,4373,"6905","Damage"
"90131675.100a",2003-01-01,145,"7366","Windscreen"
"90133465.100a",2003-01-01,239,"7144","Windscreen"
"90134375.100a",2003-01-01,461,"6879","TPL"
"90151954.100a",2003-01-01,332,"6841","Windscreen"
"90157111.100a",2003-01-01,0,"7050","TPL"
"90157303.100b",2003-01-01,779,"7478","TPL"
"90164592.102a",2003-01-01,130,"7199","Windscreen"
"90171000.100a",2003-01-01,496,"6881","Damage"
"90172760.100a",2003-01-01,368,"6788","Windscreen"
"90174235.100a",2003-01-01,210,"13767","Windscreen"
"90183952.100a",2003-01-01,331,"6783","Windscreen"
"20200297.102b",2003-01-02,659,"7196","Windscreen"
"90101337.101a",2003-01-02,59,"7372","Windscreen"
"90106786.100a",2003-01-02,585,"6901","Theft"
"90126684.102a",2003-01-02,84,"6942","Damage"
"90134847.100a",2003-01-02,265,"7049","Windscreen"
"90145330.100b",2003-01-02,145,"6838","Windscreen"
"90145673.100a",2003-01-02,2541,"6967","TPL"
"90146161.100a",2003-01-02,229,"7362","Windscreen"
"90154372.100a",2003-01-02,167,"6987","TPL"
"90155997.100a",2003-01-02,24728,"6930","Damage"
"90157004.100a",2003-01-02,1185,"6986","TPL"
"90168670.100a",2003-01-02,51,"13032","Damage"
"90170484.100a",2003-01-02,0,"6949","TPL"
"90184868.100a",2003-01-02,608,"7062","TPL"
"571.10a",2003-01-03,897,"6937","TPL"
"90103939.104c",2003-01-03,267,"6964","TPL"
"90108242.101a",2003-01-03,8078,"6970","TPL"
"90113837.101a",2003-01-03,239,"8034","Windscreen"
"90126491.101b",2003-01-03,104,"6847","TPL"
"90131438.103a",2003-01-03,827,"7093","TPL"
"90132590.100a",2003-01-03,760,"7164","TPL"
"90144517.100b",2003-01-03,287,"7178","Windscreen"
"90145919.100c",2003-01-03,0,"7025","Damage"
"90155185.102a",2003-01-03,145,"7991","Windscreen"
"90156518.100a",2003-01-03,484,"6983","TPL"
"90164807.100a",2003-01-03,897,"7138","TPL"
"90172017.100b",2003-01-03,98,"7153","Windscreen"
"90182515.100a",2003-01-03,281,"7374","Windscreen"
"90103582.10a",2003-01-04,897,"7591","TPL"
"90132420.100b",2003-01-04,1745,"7089","Theft"
"90145650.100a",2003-01-04,837,"7582","Other"
"90153246.100a",2003-01-04,289,"6950","Theft"
"90160213.100a",2003-01-04,1167,"6938","Other"
"90164574.100a",2003-01-04,1850,"6989","Theft"
"90167909.100a",2003-01-04,1063,"7280","Damage"
"90180911.101a",2003-01-04,541,"7116","TPL"
"90189115.101a",2003-01-04,0,"7090","Windscreen"
"50200836.101a",2003-01-05,1350,"7474","TPL"
"90103675.10a",2003-01-05,438,"7454","Windscreen"
"90133227.100a",2003-01-05,3090,"7063","TPL"
"90146530.100b",2003-01-05,0,"7102","TPL"
"90147873.100a",2003-01-05,303,"7370","Windscreen"
"90148086.100a",2003-01-05,361,"7080","TPL"
"90155812.100a",2003-01-05,2120,"6864","Damage"
"90157488.100a",2003-01-05,284,"7376","Windscreen"
"90157495.100a",2003-01-05,1136,"7027","TPL"
"90158231.100b",2003-01-05,1749,"6963","TPL"
"90165788.100a",2003-01-05,215,"7221","TPL"
"90170929.100a",2003-01-05,422,"7879","Windscreen"
"90173823.100a",2003-01-05,303,"7247","Windscreen"
"90178461.101a",2003-01-05,598,"7208","Windscreen"
"90185853.100a",2003-01-05,311,"7384","Windscreen"
"90111488.101a",2003-01-06,897,"7112","TPL"
"90125466.101a",2003-01-06,80,"8115","Windscreen"
"90128272.101a",2003-01-06,73,"6988","Damage"
"90135374.100a",2003-01-06,332,"7360","Windscreen"
"90141326.101a",2003-01-06,381,"7069","TPL"
"90147828.100b",2003-01-06,505,"7680","Windscreen"
"90150417.100a",2003-01-06,80,"7224","TPL"
"90167962.100c",2003-01-06,897,"7277","TPL"
"60200149.10b",2003-01-07,0,"7231","TPL"
"90103666.10a",2003-01-07,341,"7244","Windscreen"
"90104028.102b",2003-01-07,149,"7648","Windscreen"
"90128779.101b",2003-01-07,263,"7640","Windscreen"
"90133683.100a",2003-01-07,1121,"7655","TPL"
"90152186.100c",2003-01-07,2242,"7169","Damage"
"90159936.100a",2003-01-07,64,"7167","Windscreen"
"90167662.100b",2003-01-07,199,"7687","Windscreen"
"90167813.100a",2003-01-07,164,"7688","Windscreen"
"90170727.100a",2003-01-07,80,"7647","Windscreen"
"1009102.100b",2003-01-08,284,"7697","Windscreen"
"70200392.10a",2003-01-08,92,"7172","Windscreen"
"80100187.10a",2003-01-08,164,"7696","Windscreen"
"90106309.101a",2003-01-08,541,"7639","Windscreen"
"90109037.101a",2003-01-08,412,"7255","Windscreen"
"90109677.101a",2003-01-08,62,"7686","Windscreen"
"90110995.101a",2003-01-08,1116,"7085","Damage"
"90111865.101c",2003-01-08,263,"7672","Windscreen"
"90112275.101a",2003-01-08,368,"7665","Windscreen"
"90123583.101a",2003-01-08,567,"7690","Windscreen"
"90126766.101a",2003-01-08,250,"8373","Damage"
"90128972.101a",2003-01-08,1927,"12448","Other"
"90131310.100a",2003-01-08,460,"7145","Damage"
"90132486.105a",2003-01-08,897,"10760","TPL"
"90146098.100a",2003-01-08,244,"7177","Windscreen"
"90147537.100a",2003-01-08,2793,"7428","TPL"
"90151453.100a",2003-01-08,148,"7300","Damage"
