"IDpol","OccurDate","Payment","IDclaim","Guarantee"
"70100084.100a",2003-01-01,104,"7201","Windscreen"
"80100041.10c",2003-01-01,628,"6995","TPL"
"90105222.100a",2003-01-01,468,"6876","TPL"
"90109476.101c",2003-01-01,4373,"6905","Damage"
"90131675.100a",2003-01-01,145,"7366","Windscreen"
"90133465.100b",2003-01-01,239,"7144","Windscreen"
"90134375.100a",2003-01-01,461,"6879","TPL"
"90151954.100a",2003-01-01,332,"6841","Windscreen"
"90157111.100b",2003-01-01,0,"7050","TPL"
"90157303.100b",2003-01-01,779,"7478","TPL"
"90164592.102a",2003-01-01,130,"7199","Windscreen"
"90171000.100b",2003-01-01,496,"6881","Damage"
"90172760.100a",2003-01-01,368,"6788","Windscreen"
"90174235.100a",2003-01-01,210,"13767","Windscreen"
"90183952.100a",2003-01-01,331,"6783","Windscreen"
"20200297.102a",2003-01-02,659,"7196","Windscreen"
"90101337.101a",2003-01-02,59,"7372","Windscreen"
"90106786.100a",2003-01-02,585,"6901","Theft"
"90126684.102a",2003-01-02,84,"6942","Damage"
"90134847.100a",2003-01-02,265,"7049","Windscreen"
"90145330.100c",2003-01-02,145,"6838","Windscreen"
"90145673.100a",2003-01-02,2541,"6967","TPL"
"90146161.100a",2003-01-02,229,"7362","Windscreen"
"90154372.100a",2003-01-02,167,"6987","TPL"
"90155997.100a",2003-01-02,24728,"6930","Damage"
"90157004.100a",2003-01-02,1185,"6986","TPL"
"90168670.100a",2003-01-02,51,"13032","Damage"
"90170484.100a",2003-01-02,0,"6949","TPL"
"90184868.100a",2003-01-02,608,"7062","TPL"
"571.10a",2003-01-03,897,"6937","TPL"
"90103939.104a",2003-01-03,267,"6964","TPL"
"90108242.101a",2003-01-03,8078,"6970","TPL"
"90113837.101a",2003-01-03,239,"8034","Windscreen"
"90126491.101a",2003-01-03,104,"6847","TPL"
"90131438.103a",2003-01-03,827,"7093","TPL"
"90132590.100a",2003-01-03,760,"7164","TPL"
"90144517.100a",2003-01-03,287,"7178","Windscreen"
"90145919.100c",2003-01-03,0,"7025","Damage"
"90155185.102a",2003-01-03,145,"7991","Windscreen"
"90156518.100a",2003-01-03,484,"6983","TPL"
"90164807.100a",2003-01-03,897,"7138","TPL"
"90172017.100a",2003-01-03,98,"7153","Windscreen"
"90182515.100a",2003-01-03,281,"7374","Windscreen"
"90103582.10a",2003-01-04,897,"7591","TPL"
"90132420.100a",2003-01-04,1745,"7089","Theft"
"90145650.100b",2003-01-04,837,"7582","Other"
"90153246.100b",2003-01-04,289,"6950","Theft"
"90160213.100a",2003-01-04,1167,"6938","Other"
"90164574.100b",2003-01-04,1850,"6989","Theft"
"90167909.100a",2003-01-04,1063,"7280","Damage"
"90180911.101a",2003-01-04,541,"7116","TPL"
"90189115.101a",2003-01-04,0,"7090","Windscreen"
"50200836.101a",2003-01-05,1350,"7474","TPL"
"90103675.10a",2003-01-05,438,"7454","Windscreen"
"90133227.100b",2003-01-05,3090,"7063","TPL"
"90146530.100b",2003-01-05,0,"7102","TPL"
"90147873.100a",2003-01-05,303,"7370","Windscreen"
"90148086.100a",2003-01-05,361,"7080","TPL"
"90155812.100a",2003-01-05,2120,"6864","Damage"
"90157488.100a",2003-01-05,284,"7376","Windscreen"
"90157495.100b",2003-01-05,1136,"7027","TPL"
"90158231.100b",2003-01-05,1749,"6963","TPL"
"90165788.100a",2003-01-05,215,"7221","TPL"
"90170929.100a",2003-01-05,422,"7879","Windscreen"
"90173823.100a",2003-01-05,303,"7247","Windscreen"
"90178461.101a",2003-01-05,598,"7208","Windscreen"
"90185853.100a",2003-01-05,311,"7384","Windscreen"
"90111488.101a",2003-01-06,897,"7112","TPL"
"90125466.101a",2003-01-06,80,"8115","Windscreen"
"90128272.101a",2003-01-06,73,"6988","Damage"
"90135374.100a",2003-01-06,332,"7360","Windscreen"
"90141326.101a",2003-01-06,381,"7069","TPL"
"90147828.100a",2003-01-06,505,"7680","Windscreen"
"90150417.100a",2003-01-06,80,"7224","TPL"
"90167962.100c",2003-01-06,897,"7277","TPL"
"60200149.10a",2003-01-07,0,"7231","TPL"
"90103666.10a",2003-01-07,341,"7244","Windscreen"
"90104028.102a",2003-01-07,149,"7648","Windscreen"
"90128779.101a",2003-01-07,263,"7640","Windscreen"
"90133683.100a",2003-01-07,1121,"7655","TPL"
"90152186.100a",2003-01-07,2242,"7169","Damage"
"90159936.100a",2003-01-07,64,"7167","Windscreen"
"90167662.100b",2003-01-07,199,"7687","Windscreen"
"90167813.100a",2003-01-07,164,"7688","Windscreen"
"90170727.100a",2003-01-07,80,"7647","Windscreen"
"1009102.100c",2003-01-08,284,"7697","Windscreen"
"70200392.10a",2003-01-08,92,"7172","Windscreen"
"80100187.10a",2003-01-08,164,"7696","Windscreen"
"90106309.101a",2003-01-08,541,"7639","Windscreen"
"90109037.101a",2003-01-08,412,"7255","Windscreen"
"90109677.101a",2003-01-08,62,"7686","Windscreen"
"90110995.101a",2003-01-08,1116,"7085","Damage"
"90111865.101a",2003-01-08,263,"7672","Windscreen"
"90112275.101c",2003-01-08,368,"7665","Windscreen"
"90123583.101a",2003-01-08,567,"7690","Windscreen"
"90126766.101a",2003-01-08,250,"8373","Damage"
"90128972.101a",2003-01-08,1927,"12448","Other"
"90131310.100a",2003-01-08,460,"7145","Damage"
"90132486.105a",2003-01-08,897,"10760","TPL"
"90146098.100a",2003-01-08,244,"7177","Windscreen"
"90147537.100a",2003-01-08,2793,"7428","TPL"
"90151453.100e",2003-01-08,148,"7300","Damage"
"90152509.100a",2003-01-08,449,"7243","TPL"
"90158564.100a",2003-01-08,388,"7190","TPL"
"90158585.100a",2003-01-08,116,"7685","Windscreen"
"90163077.100b",2003-01-08,1121,"11947","TPL"
"90170006.100a",2003-01-08,2158,"7198","TPL"
"90172760.100a",2003-01-08,283,"7666","Windscreen"
"90187225.103a",2003-01-08,293,"7658","Windscreen"
"90187346.100a",2003-01-08,77,"7293","Windscreen"
"10200139.103a",2003-01-09,1495,"7281","TPL"
"40202177.101d",2003-01-09,3659,"7151","Damage"
"60100036.10a",2003-01-09,126,"7649","Windscreen"
"80100135.10b",2003-01-09,148,"7651","Windscreen"
"90133759.100b",2003-01-09,0,"9822","TPL"
"90152120.100a",2003-01-09,1962,"7552","TPL"
"90168363.101a",2003-01-09,946,"7574","Damage"
"90187285.100d",2003-01-09,75,"7663","Windscreen"
"90194015.100a",2003-01-09,12572,"7326","TPL"
"1002745.100a",2003-01-10,34,"7292","Damage"
"1007428.100a",2003-01-10,89,"8132","Windscreen"
"20100162.10c",2003-01-10,712,"7347","TPL"
"80100210.10a",2003-01-10,0,"13795","TPL"
"90125259.101a",2003-01-10,441,"8744","TPL"
"90129758.101a",2003-01-10,2857,"9233","TPL"
"90148227.101a",2003-01-10,156,"7218","Windscreen"
"90149381.101a",2003-01-10,897,"7601","TPL"
"90153017.100a",2003-01-10,2298,"7278","Damage"
"90166798.100a",2003-01-10,897,"7294","TPL"
"90167713.100b",2003-01-10,835,"7615","TPL"
"90178042.101a",2003-01-10,242,"7682","Windscreen"
"90178426.100a",2003-01-10,209,"7155","Windscreen"
"90180670.101a",2003-01-10,325,"7318","TPL"
"90189843.100b",2003-01-10,91,"7091","TPL"
"90190696.101a",2003-01-10,1121,"7466","TPL"
"90194022.100b",2003-01-10,178,"7228","TPL"
"1002122.100a",2003-01-11,1987,"7171","TPL"
"90111159.101a",2003-01-11,1623,"7698","Other"
"90132622.100c",2003-01-11,216,"7222","TPL"
"90146202.101a",2003-01-11,106,"12419","Windscreen"
"90153670.100b",2003-01-11,47,"7330","TPL"
"90153670.100b",2003-01-11,729,"8209","Windscreen"
"90161226.100a",2003-01-11,897,"7391","TPL"
"90168039.100b",2003-01-11,1121,"7333","TPL"
"90171826.100b",2003-01-11,106,"7206","TPL"
"90182251.100a",2003-01-11,561,"7082","TPL"
"90189478.100a",2003-01-11,262,"7390","Windscreen"
"90122248.101a",2003-01-12,897,"7320","TPL"
"90124687.101a",2003-01-12,1436,"7232","TPL"
"90127517.101b",2003-01-12,897,"7432","TPL"
"90128983.101a",2003-01-12,96,"7575","Damage"
"90131426.100b",2003-01-12,238,"8860","Windscreen"
"90147769.100a",2003-01-12,897,"7306","TPL"
"90150908.105a",2003-01-12,897,"7346","TPL"
"90156973.100b",2003-01-12,2667,"7264","TPL"
"90165765.100a",2003-01-12,230,"7240","Windscreen"
"90176434.100b",2003-01-12,3516,"7322","Theft"
"90194083.100a",2003-01-12,443,"8052","Windscreen"
"90102229.101a",2003-01-13,2461,"7309","TPL"
"90108462.101a",2003-01-13,561,"7358","TPL"
"90133050.101a",2003-01-13,368,"7616","Windscreen"
"90159507.100a",2003-01-13,43,"8475","Damage"
"90170273.100a",2003-01-13,90,"7511","Windscreen"
"90179843.100c",2003-01-13,211,"7421","TPL"
"90184862.100a",2003-01-13,368,"7614","Windscreen"
"90186790.100a",2003-01-13,365,"8234","Windscreen"
"90105371.100a",2003-01-14,85,"7386","Windscreen"
"90111260.10a",2003-01-14,0,"7379","Damage"
"90112657.101a",2003-01-14,225,"7673","Windscreen"
"90117981.101a",2003-01-14,897,"7401","TPL"
"90131438.103a",2003-01-14,897,"7638","TPL"
"90133395.100a",2003-01-14,397,"7652","Windscreen"
"90133761.100b",2003-01-14,283,"7193","Windscreen"
"90152530.101a",2003-01-14,252,"8947","Windscreen"
"90180755.100a",2003-01-14,327,"7462","Windscreen"
"40200668.101a",2003-01-15,1888,"7620","Theft"
"90113345.101a",2003-01-15,897,"7479","TPL"
"90133921.100a",2003-01-15,1664,"7983","Theft"
"90134601.100a",2003-01-15,70,"7804","TPL"
"90144842.100a",2003-01-15,689,"7679","Theft"
"90146684.100a",2003-01-15,1154,"7433","TPL"
"90146699.100a",2003-01-15,2507,"7976","Damage"
"90148856.102a",2003-01-15,317,"8636","Windscreen"
"90155445.101a",2003-01-15,720,"7488","TPL"
"90164619.100a",2003-01-15,2892,"7517","TPL"
